Vreactor : Reactive mixture volume for reaction I in reactor J [m^3]
    Size=6, Index=Vreactor_index
    Key               : Lower : Value             : Upper : Fixed : Stale : Domain
    ('R1', 'R_large') :  0.15 : 0.317443333207311 :   1.5 : False : False : NonNegativeReals
    ('R1', 'R_small') :   0.1 : 0.897709684728278 :     1 : False : False : NonNegativeReals
    ('R2', 'R_large') :  0.15 : 1.388888888888889 :   1.5 : False : False : NonNegativeReals
    ('R2', 'R_small') :   0.1 : 0.100002572486052 :     1 : False : False : NonNegativeReals
    ('R3', 'R_large') :  0.15 : 1.401046590793599 :   1.5 : False : False : NonNegativeReals
    ('R3', 'R_small') :   0.1 : 0.265620075873068 :     1 : False : False : NonNegativeReals

Cvar_(R1,R_large) : Component composition profile [kmol/m^3]
    Size=183, Index='Cvar_(R1,R_large)_index'
    Key             : Lower : Value             : Upper : Fixed : Stale : Domain
           (0, 'B') :  0.05 :               1.0 :   1.0 : False : False : NonNegativeReals
    1.223258 :   300 : 361.4621529465377 :   370 : False : False : NonNegativeReals
    1.296742 :   300 : 362.2325699581059 :   370 : False : False : NonNegativeReals
        1.35 :   300 : 362.7251089044257 :   370 : False : False : NonNegativeReals
    1.373258 :   300 : 362.9228943295831 :   370 : False : False : NonNegativeReals
    1.446742 :   300 : 363.5422413129763 :   370 : False : False : NonNegativeReals
         1.5 :   300 : 363.9117731998831 :   370 : False : False : NonNegativeReals
    1.523258 :   300 : 364.0326580218743 :   370 : False : False : NonNegativeReals
    1.596742 :   300 : 364.3639445222766 :   370 : False : False : NonNegativeReals
        1.65 :   300 : 364.5821644912822 :   370 : False : False : NonNegativeReals
    1.673258 :   300 : 364.6491217927536 :   370 : False : False : NonNegativeReals
    1.746742 :   300 : 365.0050167373309 :   370 : False : False : NonNegativeReals
         1.8 :   300 : 365.1112078152501 :   370 : False : False : NonNegativeReals
    1.823258 :   300 : 365.0405713447384 :   370 : False : False : NonNegativeReals
    1.896742 :   300 : 364.6945339943154 :   370 : False : False : NonNegativeReals
        1.95 :   300 : 364.4128784891411 :   370 : False : False : NonNegativeReals
    1.973258 :   300 : 364.0327771933771 :   370 : False : False : NonNegativeReals
    2.046742 :   300 : 364.3470892752291 :   370 : False : False : NonNegativeReals
         2.1 :   300 : 363.2245953464494 :   370 : False : False : NonNegativeReals
    2.123258 :   300 : 361.6396573952906 :   370 : False : False : NonNegativeReals
    2.196742 :   300 : 355.7934074696553 :   370 : False : False : NonNegativeReals
        2.25 :   300 : 351.5870351226101 :   370 : False : False : NonNegativeReals
    2.273258 :   300 : 349.8752563510607 :   370 : False : False : NonNegativeReals
    2.346742 :   300 : 344.9100239610345 :   370 : False : False : NonNegativeReals
         2.4 :   300 : 341.5018413135772 :   370 : False : False : NonNegativeReals
    2.423258 :   300 :    340.0007081285 :   370 : False : False : NonNegativeReals
    2.496742 :   300 : 335.5078462657946 :   370 : False : False : NonNegativeReals
        2.55 :   300 : 332.5418620402874 :   370 : False : False : NonNegativeReals
    2.573258 :   300 : 331.3617545190982 :   370 : False : False : NonNegativeReals
    2.646742 :   300 :  327.732675253832 :   370 : False : False : NonNegativeReals
         2.7 :   300 : 325.5286584639408 :   370 : False : False : NonNegativeReals
    2.723258 :   300 : 324.7653462842316 :   370 : False : False : NonNegativeReals
    2.796742 :   300 : 322.6466839981558 :   370 : False : False : NonNegativeReals
        2.85 :   300 : 321.2689790451274 :   370 : False : False : NonNegativeReals
    2.873258 :   300 : 320.6877610914863 :   370 : False : False : NonNegativeReals
    2.946742 :   300 : 318.9587912402789 :   370 : False : False : NonNegativeReals
           3 :   300 : 317.7983302049186 :   370 : False : False : NonNegativeReals

TJvar_(R1,R_large) : Jacket temperature profile [K]
    Size=61, Index='N_[R1,R_large]'
    Key      : Lower : Value             : Upper : Fixed : Stale : Domain
           0 :   300 :             300.0 :   370 : False : False : NonNegativeReals
    0.023258 :   300 : 302.4433270168762 :   370 : False : False : NonNegativeReals
    0.096742 :   300 : 308.5295296795327 :   370 : False : False : NonNegativeReals
        0.15 :   300 : 312.2460427158461 :   370 : False : False : NonNegativeReals
