X : 1 if unit j processes task i starting at time t
    Size=3955, Index=X_index
    Key                       : Lower : Value : Upper : Fixed : Stale : Domain
       ('Mix', 'R_large', 95) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 96) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 97) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 98) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_large', 99) :     0 :     0 :     1 : False : False : Binary
      ('Mix', 'R_large', 100) :     0 :     0 :     1 : False : False : Binary
      ('Mix', 'R_large', 101) :     0 :     0 :     1 : False : False : Binary
      ('Mix', 'R_large', 102) :     0 :     0 :     1 : False : False : Binary
      ('Mix', 'R_large', 103) :     0 :     0 :     1 : False : False : Binary
      ('Mix', 'R_large', 104) :     0 :     0 :     1 : False : False : Binary
      ('Mix', 'R_large', 105) :     0 :     0 :     1 : False : False : Binary
      ('Mix', 'R_large', 106) :     0 :     0 :     1 : False : False : Binary
      ('Mix', 'R_large', 107) :     0 :     0 :     1 : False : False : Binary
      ('Mix', 'R_large', 108) :     0 :     0 :     1 : False : False : Binary
      ('Mix', 'R_large', 109) :     0 :     0 :     1 : False : False : Binary
      ('Mix', 'R_large', 110) :     0 :     0 :     1 : False : False : Binary
      ('Mix', 'R_large', 111) :     0 :     0 :     1 : False : False : Binary
      ('Mix', 'R_large', 112) :     0 :     0 :     1 : False : False : Binary
        ('Mix', 'R_small', 0) :     0 :     0 :     1 : False : False : Binary
        ('Mix', 'R_small', 1) :     0 :     0 :     1 : False : False : Binary
        ('Mix', 'R_small', 2) :     0 :     0 :     1 : False : False : Binary
        ('Mix', 'R_small', 3) :     0 :     0 :     1 : False : False : Binary
        ('Mix', 'R_small', 4) :     0 :     0 :     1 : False : False : Binary
        ('Mix', 'R_small', 5) :     0 :     0 :     1 : False : False : Binary
        ('Mix', 'R_small', 6) :     0 :     0 :     1 : False : False : Binary
        ('Mix', 'R_small', 7) :     0 :     0 :     1 : False : False : Binary
        ('Mix', 'R_small', 8) :     0 :     0 :     1 : False : False : Binary
        ('Mix', 'R_small', 9) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_small', 10) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_small', 11) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_small', 12) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_small', 13) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_small', 14) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_small', 15) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_small', 16) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_small', 17) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_small', 18) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_small', 19) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_small', 20) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_small', 21) :     0 :     0 :     1 : False : False : Binary
       ('Mix', 'R_small', 22) :     0 :     0 :     1 : False : False : Binary
